io_a=0001,io_b=001c,io_c=d658,dut=d628,rm=d658
io_a=8000,io_b=807f,io_c=803e,dut=003e,rm=803e
io_a=8001,io_b=0080,io_c=0003,dut=0002,rm=0003
io_a=0001,io_b=8000,io_c=0080,dut=8080,rm=0080
io_a=007f,io_b=0080,io_c=8077,dut=8049,rm=8077
io_a=0030,io_b=0001,io_c=807f,dut=8041,rm=807f
io_a=8080,io_b=8001,io_c=807f,dut=8041,rm=807f
io_a=0001,io_b=8000,io_c=7f80,dut=ff80,rm=7f80
io_a=8080,io_b=0433,io_c=0080,dut=00c0,rm=0080
io_a=0001,io_b=0000,io_c=ff7f,dut=7f7f,rm=ff7f
io_a=8001,io_b=007f,io_c=7f7f,dut=7f01,rm=7f7f
io_a=0000,io_b=0001,io_c=ff7f,dut=7f7f,rm=ff7f
io_a=8059,io_b=0034,io_c=2bde,dut=2ba2,rm=2bde
io_a=bfc3,io_b=0001,io_c=007f,dut=0083,rm=007d
io_a=007f,io_b=090d,io_c=ff7f,dut=ff01,rm=ff7f
io_a=0000,io_b=8000,io_c=0054,dut=8054,rm=0054
io_a=0001,io_b=2423,io_c=807f,dut=8041,rm=807f
io_a=007f,io_b=807f,io_c=6a41,dut=6a3f,rm=6a41
io_a=807f,io_b=8033,io_c=d7cd,dut=d7b3,rm=d7cd
io_a=8080,io_b=007f,io_c=007f,dut=0041,rm=007f
io_a=8000,io_b=7f7f,io_c=007f,dut=807f,rm=007f
io_a=0000,io_b=8080,io_c=7242,dut=f242,rm=7242
io_a=8007,io_b=2746,io_c=0051,dut=006f,rm=0051
io_a=8043,io_b=0000,io_c=007f,dut=807f,rm=007f
io_a=0010,io_b=4215,io_c=9b00,dut=9b40,rm=9b00
io_a=ff80,io_b=0001,io_c=7f80,dut=ff80,rm=7fc0
io_a=8001,io_b=004d,io_c=0002,dut=0003,rm=0002
io_a=8023,io_b=ff80,io_c=ff80,dut=ff80,rm=7fc0
io_a=8000,io_b=8000,io_c=8016,dut=0016,rm=8016
io_a=807f,io_b=37d2,io_c=007f,dut=0041,rm=007e
io_a=8000,io_b=561b,io_c=0001,dut=8001,rm=0001
io_a=7799,io_b=0068,io_c=007f,dut=3879,rm=3878
io_a=007f,io_b=8c0b,io_c=321b,dut=3265,rm=321b
io_a=0060,io_b=8011,io_c=007f,dut=0041,rm=007f
io_a=1f04,io_b=8000,io_c=7f80,dut=ff80,rm=7f80
io_a=0080,io_b=9c3f,io_c=003f,dut=0021,rm=003f
io_a=8001,io_b=007f,io_c=007f,dut=0041,rm=007f
io_a=807f,io_b=0000,io_c=007f,dut=807f,rm=007f
io_a=ff7f,io_b=8001,io_c=ff7f,dut=ff01,rm=ff7f
io_a=0052,io_b=0000,io_c=eea0,dut=6ea0,rm=eea0
io_a=8000,io_b=7f7f,io_c=0080,dut=8080,rm=0080
io_a=8000,io_b=ff7f,io_c=807f,dut=007f,rm=807f
io_a=000c,io_b=539a,io_c=ff7f,dut=ff01,rm=ff7f
io_a=007f,io_b=8001,io_c=0080,dut=00c0,rm=0080
io_a=8000,io_b=0000,io_c=007f,dut=807f,rm=007f
io_a=8000,io_b=7f7f,io_c=7f80,dut=ff80,rm=7f80
io_a=004b,io_b=4074,io_c=8080,dut=009e,rm=009d
io_a=a867,io_b=8000,io_c=ff7f,dut=7f7f,rm=ff7f
io_a=4171,io_b=8001,io_c=0080,dut=0148,rm=0070
io_a=8061,io_b=ff7f,io_c=ff7f,dut=ff01,rm=ff7f
io_a=8080,io_b=0000,io_c=64a8,dut=e4a8,rm=64a8
io_a=8075,io_b=0080,io_c=613a,dut=6146,rm=613a
io_a=3f15,io_b=007f,io_c=ff7f,dut=ff01,rm=ff7f
io_a=ff80,io_b=7f80,io_c=7f80,dut=ff80,rm=7fc0
io_a=8000,io_b=7f7f,io_c=0000,dut=8000,rm=0000
io_a=0000,io_b=803b,io_c=0000,dut=8000,rm=0000
io_a=8000,io_b=0080,io_c=7f7f,dut=ff7f,rm=7f7f
io_a=1f38,io_b=8001,io_c=4240,dut=4200,rm=4240
io_a=0033,io_b=ff7f,io_c=7f7f,dut=7f01,rm=7f7f
io_a=807f,io_b=347e,io_c=007f,dut=0041,rm=007e
io_a=0000,io_b=8080,io_c=7f80,dut=ff80,rm=7f80
io_a=7b30,io_b=807f,io_c=0000,dut=bc2f,rm=bc2e
io_a=8046,io_b=8cfd,io_c=807f,dut=8041,rm=807f
io_a=007f,io_b=004f,io_c=807f,dut=8041,rm=807f
io_a=0080,io_b=54e4,io_c=ff7f,dut=ff01,rm=ff7f
io_a=8000,io_b=766d,io_c=0049,dut=8049,rm=0049
io_a=803c,io_b=8000,io_c=8080,dut=0080,rm=8080
io_a=dc2c,io_b=007f,io_c=8001,dut=9d2b,rm=9d2a
io_a=8000,io_b=7f7f,io_c=0000,dut=8000,rm=0000
io_a=807f,io_b=0080,io_c=3227,dut=3259,rm=3227
io_a=b00d,io_b=807b,io_c=ff7f,dut=ff01,rm=ff7f
io_a=0001,io_b=807f,io_c=7f7f,dut=7f01,rm=7f7f
io_a=0080,io_b=7f7f,io_c=cb9d,dut=cbe3,rm=cb9c
io_a=0080,io_b=0080,io_c=8080,dut=80c0,rm=8080
io_a=8000,io_b=0017,io_c=7f80,dut=ff80,rm=7f80
io_a=ff7f,io_b=8080,io_c=3e2d,dut=4085,rm=4084
